wav_path	low-high	m-f	clear-hoarse	calm-restless	powerful-weak	youthful-aged	thick-thin	firm-relaxed	dark-bright	cold-warm
LibriTTS_R/train-other-500/57/121074/57_121074_000008_000000.wav	5-3-5-5	6-5-5-6	3-2-5-3	6-6-5-7	3-3-3-6	4-3-3-4	5-3-4-5	3-2-3-2	5-4-4-4	5-3-3-2
LibriTTS_R/train-other-500/58/121075/58_121075_000045_000002.wav	2-1-2-2	1-1-2-1	5-5-4-6	3-3-3-4	5-3-4-3	5-6-5-5	3-2-4-5	5-3-4-4	3-4-4-3	3-5-4-4
LibriTTS_R/train-clean-100/60/121082/60_121082_000005_000006.wav	2-2-2-2	2-1-2-2	3-4-5-5	2-3-3-2	4-4-4-4	4-4-5-4	3-3-4-3	4-3-4-3	4-4-3-4	5-5-4-3
LibriTTS_R/train-other-500/62/121084/62_121084_000042_000000.wav	4-5-3-5	3-3-3-2	3-3-3-5	5-6-4-5	4-3-3-5	4-4-4-4	4-4-4-4	4-3-3-2	4-3-4-4	4-3-4-3
LibriTTS_R/train-clean-360/64/76974/64_76974_000016_000001.wav	6-3-4-5	6-5-4-6	5-3-4-4	4-5-6-4	3-3-4-3	5-4-4-4	4-3-4-4	3-2-4-3	5-4-4-4	4-3-4-3
LibriTTS_R/train-other-500/65/121089/65_121089_000043_000001.wav	6-5-6-6	7-6-6-6	3-2-3-2	5-6-4-6	3-3-4-3	3-2-3-3	5-5-4-6	3-2-4-6	4-4-5-6	4-2-5-3
LibriTTS_R/train-other-500/66/354/66_354_000030_000000.wav	2-2-2-3	2-2-2-1	5-3-5-6	3-3-5-5	5-4-4-4	4-5-5-5	3-2-4-2	5-3-4-4	4-3-4-3	5-6-4-4
LibriTTS_R/train-clean-360/70/121130/70_121130_000005_000006.wav	4-5-3-5	3-3-3-2	3-5-4-5	5-5-4-5	4-3-4-5	4-5-4-5	4-2-4-5	5-4-4-4	5-4-4-4	4-4-4-3
LibriTTS_R/train-other-500/75/854/75_854_000044_000004.wav	1-2-2-2	1-2-2-1	6-6-6-6	3-3-4-3	6-7-5-4	6-7-6-5	3-3-4-3	6-6-5-6	3-2-3-3	4-3-4-4
LibriTTS_R/train-clean-100/78/369/78_369_000006_000002.wav	2-3-2-2	2-2-3-1	3-4-4-5	3-4-4-3	4-5-4-4	4-5-4-5	3-3-4-3	5-5-4-3	3-3-4-3	4-3-4-5
LibriTTS_R/train-clean-360/79/121541/79_121541_000120_000000.wav	5-5-4-5	5-5-5-6	4-4-3-3	5-5-5-4	3-3-4-3	5-5-5-3	4-4-4-3	3-3-3-3	4-5-4-5	3-4-4-5
